Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,2259000000.0,0.0,,,Historical calendar year
2022,1915000000.0,-0.1522797698096503,,,Historical calendar year
2023,451000000.0,-0.764490861618799,,,Historical calendar year
2024,1237000000.0,1.7427937915742793,,,Historical calendar year
2025,1359000000.0,0.09862570735650777,,,Historical ttm
2025,399587864.2384106,-0.6769701986754967,371879565.43314743,0.9306578069930291,Projected calendar year
2026,160245318.6685891,-0.5989735099337749,138792308.96989086,0.8661239537170743,Projected calendar year
2027,76761221.93772,-0.520976821192053,61874535.846593544,0.8060650193504642,Projected calendar year
2028,42757525.676699534,-0.4429801324503311,32075443.104088493,0.7501707032024966,Projected calendar year
2029,27151736.710758455,-0.36498344370860925,18956045.30254813,0.698152221512854,Projected calendar year
,562133038.6481302,0.025,392454429.71796316,0.698152221512854,Terminal value
